feature,importance
GC_Std,0.08306044827551633
PC_LogP,0.07980968859889556
GC_Mean,0.07654774464453926
QED_ALOGP,0.06954893145285174
GC_Sum,0.06264923587674946
PC_FractionCSP3,0.05586457872799313
PC_TPSA,0.05324804737719042
PC_RigidityProxy,0.0516094077195806
QED_PSA,0.05062696556296682
QED_MW,0.04716616470989195
PC_MolWt,0.046786862947541676
QED_ROTB,0.03996970861487363
PC_RotB,0.03971444446496257
PC_NumAtoms,0.03810149683602917
PC_HeavyAtomCount,0.0323825215825634
GC_Max,0.02723314376092193
QED_AROM,0.024853842692268393
QED_HBA,0.02417359592091628
GC_Min,0.02316501435926212
PC_Rings,0.019164399997146603
PC_HBD,0.01758155951038886
QED_HBD,0.015029792251036497
PC_HBA,0.013129364137805539
QED_ALERTS,0.008583039978108007
