feature,importance
GC_Mean,0.08135498921609807
GC_Sum,0.07863483488037497
QED_ALOGP,0.07261452837111773
PC_MolWt,0.0719497747217813
QED_MW,0.06716235630204466
PC_LogP,0.06614200939380076
GC_Std,0.061856177578155404
PC_FractionCSP3,0.06018725580580294
PC_NumAtoms,0.059631186100619515
PC_HeavyAtomCount,0.05316017656363821
PC_TPSA,0.03962630018224827
QED_PSA,0.038092331356101274
PC_RigidityProxy,0.030309176637861156
QED_ALERTS,0.029919000384412687
QED_ROTB,0.029407653575530105
GC_Min,0.027734578882646833
PC_HBA,0.025596361775494295
PC_RotB,0.025324117403326116
GC_Max,0.022446474771022615
QED_HBD,0.016541390743427732
QED_HBA,0.016314122404138067
PC_HBD,0.012215341238993116
PC_Rings,0.007988366542027578
QED_AROM,0.005791495169336544
